"","UKC11","UKC12","UKC13","UKC22","UKD12","UKD33","UKD34","UKD35","UKD36","UKD37","UKD42","UKD45","UKD46","UKD47","UKD61","UKD62","UKD63","UKD71","UKD72","UKD73","UKD74","UKE11","UKE12","UKE13","UKE21","UKE22","UKE31","UKE32","UKE41","UKE42","UKE44","UKF11","UKF12","UKF13","UKF14","UKF15","UKF16","UKF21","UKF22","UKF24","UKF25","UKF30","UKG11","UKG12","UKG13","UKG22","UKG23","UKG24","UKG31","UKG33","UKG36","UKG37","UKG38","UKG39","UKH11","UKH12","UKH14","UKH15","UKH16","UKH17","UKH21","UKH23","UKH24","UKH31","UKH34","UKH35","UKH36","UKH37","UKI31","UKI32","UKI33","UKI34","UKI41","UKI42","UKI43","UKI44","UKI45","UKI51","UKI52","UKI53","UKI54","UKI62","UKI63","UKI72","UKI73","UKI74","UKJ11","UKJ12","UKJ13","UKJ14","UKJ21","UKJ22","UKJ25","UKJ26","UKJ27","UKJ31","UKJ32","UKJ34","UKJ36","UKJ37","UKJ41","UKJ43","UKJ45","UKJ46","UKK11","UKK12","UKK13","UKK14","UKK15","UKK21","UKK22","UKK23","UKK30","UKK41","UKK42","UKK43","UKI61","UKD41","UKI71","UKC14","UKC21","UKG32","UKC23","UKD11","UKH32","UKJ44","UKE45","UKG21","UKJ28","UKI75","UKD44","UKJ35","UKH25"
"UKC11",0.772264648058739,0.112914044326469,0.0609099350046425,0.00272527377303105,0.000205867215645908,4.11579495109554e-05,5.25417049783265e-05,2.25675899318459e-05,6.28984221930793e-05,8.11759081930544e-05,1.41880196362192e-05,6.05320769564472e-05,4.19171716687825e-05,1.71024952540576e-05,5.41785182175268e-05,2.68672756582483e-05,5.86056542735243e-05,3.40866482598766e-05,6.26996373870971e-05,3.00061512610085e-05,2.52402556837901e-05,0.000116967916388581,0.000247085656360872,0.000114620094712394,0.000587001372547327,0.00804397693125528,9.7227129689134e-05,5.85499939909217e-05,0.000127712988775853,0.000203124928678045,9.50612699591534e-05,2.18749772135654e-05,2.77227173807577e-05,4.24938480497255e-05,1.54518109522436e-05,5.79738951831975e-05,2.23581098453937e-05,6.44307542858842e-05,3.75009375234381e-05,4.7535520918006e-05,4.53602168218364e-05,4.08361056511725e-05,0,1.71448949360838e-05,3.79848682097732e-05,2.60428535154597e-05,2.23046668798001e-05,4.74113407927176e-05,2.08092226474774e-05,9.47579880983967e-06,5.58077237889724e-05,1.14915450956958e-05,5.53430229742724e-05,7.22684338707696e-06,2.79858578131851e-05,2.34683939404607e-05,5.44001566724512e-06,3.66011158111592e-05,3.4896401308615e-05,0,3.37430299553748e-05,2.69283468371073e-05,1.12110136998587e-05,3.1592914762316e-05,1.22560534690759e-05,1.88836014804744e-05,0,1.63468140059502e-05,1.80173687434687e-05,0,9.53629753248301e-06,4.6303370422333e-06,1.97910559270502e-05,2.82686844225414e-05,5.98666171769298e-06,2.49668564979989e-05,4.52349503320245e-06,9.83767830791933e-06,1.1810047200822e-05,5.92745389181804e-06,1.61516967357421e-05,1.40655548626967e-05,3.26839138689732e-05,5.25931029404804e-06,4.10201716694184e-05,4.24344306441873e-05,1.02294464846507e-05,6.84458011923259e-06,1.09316697761194e-05,8.2910718974118e-06,1.10934232640179e-05,3.85034479837669e-06,2.43489694298689e-06,1.47010540655765e-05,4.666116064971e-06,1.61702402897707e-05,6.73010916237061e-06,0,1.53471918475717e-05,2.54433503803781e-05,0,0,1.31330111367934e-05,0,2.15606302890921e-05,1.69525047325742e-05,9.45417874700618e-06,2.50806761750297e-05,4.05536382696574e-06,5.45577548392729e-06,0,1.13972669353889e-05,0,7.11237553342816e-06,0,1.06272184318476e-05,0,5.15909354726375e-05,0,0.0253741584911259,0.00161063279536452,1.88483649043445e-05,0.00726522558076958,0.000183391698469116,1.06617764651946e-05,3.79539770074807e-06,0.000173441127926819,1.07942401934328e-05,1.93437628454675e-05,7.54275800946616e-06,7.21437102708595e-05,3.05431443730801e-05,3.99220189895737e-05
"UKC12",0.110711372056011,0.808644089566297,0.0328133704735376,0.00170708722825793,0.000118769547488024,7.34963384124203e-05,4.87887260513032e-05,3.38513848977688e-05,3.14492110965396e-05,4.81042418921804e-05,8.51281178173151e-05,2.01773589854824e-05,7.18580085750557e-05,1.71024952540576e-05,9.9327283398799e-05,4.29876410531972e-05,0.000199259224529983,8.94774516821761e-05,4.52830714462368e-05,0.000135027680674538,6.31006392094752e-05,0.000144489779068247,0.000177394830207805,0.000307664464754321,0.000725119342558463,0.0141564421896847,0.000144654997830175,7.08763085153262e-05,0.000105819333557135,0.000216818744094542,0.000118826587448942,2.18749772135654e-05,6.23761141067047e-05,5.02200022405847e-05,2.57530182537393e-05,4.96919101570264e-05,3.91266922294389e-05,2.47810593407247e-05,2.14291071562503e-05,2.3767760459003e-05,2.26801084109182e-05,4.9003326781407e-05,0,1.37159159488671e-05,1.03595095117563e-05,1.95321401365948e-05,3.71744447996669e-05,3.38652434233697e-05,8.00354717210668e-06,1.89515976196793e-05,1.86025745963241e-05,5.74577254784792e-06,3.45893893589203e-05,3.61342169353848e-05,0,2.93354924255759e-06,1.08800313344902e-05,2.09149233206624e-05,1.74482006543075e-05,0,3.37430299553748e-05,7.60329793047734e-05,1.12110136998587e-05,1.05309715874387e-05,2.04267557817932e-05,2.51781353072991e-05,6.16439200601645e-06,3.26936280119005e-05,1.20115791623125e-05,1.89740119283288e-05,0,4.6303370422333e-06,1.23694099544064e-05,9.42289480751382e-06,2.09533160119254e-05,2.49668564979989e-06,4.52349503320245e-06,9.83767830791933e-06,7.87336480054799e-06,1.48186347295451e-05,2.15355956476561e-05,0,1.78275893830763e-05,2.10372411761922e-05,1.53825643760319e-05,6.52837394525958e-06,1.84130036723713e-05,6.84458011923259e-06,1.45755597014925e-05,1.93458344272942e-05,2.21868465280359e-05,1.15510343951301e-05,9.73958777194755e-06,9.80070271038434e-06,1.8664464259884e-05,0,2.69204366494825e-05,0,2.30207877713575e-05,1.01773401521512e-05,1.33444537114262e-05,5.24551639486149e-06,0,1.08687382481768e-05,1.43737535260614e-05,1.13016698217162e-05,6.30278583133745e-06,4.18011269583828e-05,1.62214553078629e-05,1.09115509678546e-05,6.40854472630174e-05,1.13972669353889e-05,1.12054443518958e-05,0,1.60359204618345e-05,5.31360921592382e-06,0,5.15909354726375e-05,9.09099173628851e-06,0.00833812429294709,0.000615445051887256,3.76967298086891e-05,0.00271152293755218,9.60623182457274e-05,3.19853293955839e-05,1.13861931022442e-05,0.000167846252832406,3.23827205802984e-05,0,3.77137900473308e-06,5.6111774655113e-05,8.7266126780229e-06,0
"UKC13",0.0250765671182678,0.0122161807309729,0.721077065923863,0.00150561627365388,0.000197949245813373,4.11579495109554e-05,3.37768103432099e-05,3.76126498864098e-05,5.66085799737714e-05,3.90846965373965e-05,2.83760392724384e-05,2.01773589854824e-05,2.39526695250186e-05,2.56537428810864e-05,6.32082712537812e-05,1.6120365394949e-05,0.000123071873974401,5.11299723898149e-05,3.13498186935486e-05,6.75138403372691e-05,0.00010096102273516,6.19241910292489e-05,0.000114039533705018,0.000241305462552409,0.000837340193192511,0.00753460482638616,6.63990153974574e-05,6.77947298842251e-05,0.00014960664399457,0.000150631969581471,3.86186409209061e-05,4.37499544271308e-05,3.46533967259471e-05,3.86307709542959e-05,3.60542255552351e-05,4.96919101570264e-05,3.35371647680905e-05,1.98248474725798e-05,2.67863839453129e-05,1.90142083672024e-05,5.1030243924566e-05,7.35049901721106e-05,2.16515827306976e-05,1.02869369616503e-05,2.07190190235126e-05,3.90642802731895e-05,1.48697779198668e-05,3.6122926318261e-05,6.40283773768534e-06,3.31652958344388e-05,2.48034327950988e-05,2.87288627392396e-05,4.84251451024884e-05,3.61342169353848e-05,1.86572385421234e-05,2.93354924255759e-06,1.08800313344902e-05,3.66011158111592e-05,8.72410032715376e-06,7.59116995111287e-06,0,1.74242244240106e-05,0,3.1592914762316e-05,8.17070231271729e-06,0,1.23287840120329e-05,0,0,1.89740119283288e-05,0,4.6303370422333e-06,1.48432919452876e-05,9.42289480751382e-06,8.97999257653947e-06,1.24834282489995e-05,0,1.63961305131989e-05,3.93668240027399e-06,8.89118083772706e-06,4.30711912953122e-05,9.37703657513116e-06,1.18850595887175e-05,3.15558617642882e-05,2.05100858347092e-05,6.52837394525958e-06,4.09177859386029e-06,4.79120608346281e-05,7.28777985074627e-06,2.7636906324706e-06,0,3.85034479837669e-06,9.73958777194755e-06,4.90035135519217e-06,1.3998348194913e-05,3.23404805795414e-05,4.03806549742237e-05,3.12260925229121e-05,2.68575857332505e-05,2.03546803043025e-05,6.67222685571309e-06,5.24551639486149e-06,0,1.08687382481768e-05,1.07803151445461e-05,1.13016698217162e-05,4.09681079036934e-05,2.50806761750297e-05,1.21660914808972e-05,4.91019793553456e-05,5.34045393858478e-06,1.13972669353889e-05,2.61460368210901e-05,0.000106685633001422,0,1.06272184318476e-05,0,6.44886693407968e-05,4.54549586814426e-06,0.031720479961425,0.000857694699970537,1.88483649043445e-05,0.00262182879457971,0.000122261132312744,1.06617764651946e-05,1.51815908029923e-05,3.91641256608946e-05,0,2.41797035568344e-05,1.13141370141992e-05,4.80958068472397e-05,2.18165316950572e-05,0
"UKC22",0.0130999986625831,0.00622226027886001,0.0152460538532962,0.874537754140445,0.00220911358327725,0.000164631798043821,0.000183895967424143,0.000165495659500203,0.000185550345469584,0.000144312725676541,9.93161374535342e-05,0.000226995288586677,0.000155692351912621,0.000256537428810863,0.000207684319833853,0.000236432025792585,0.000175816962820573,0.000242867368851621,0.000268215115489249,0.000532609184882901,0.000252402556837901,0.000440349802874659,0.00046249366447035,0.000259403372243839,0.00105314952133491,0.00170246515587128,0.00038179433853538,0.000305076284479013,0.000467064644665976,0.000520364985826901,0.000240623839584107,0.0001895831358509,0.000228712418391251,0.000197016931866909,0.00038629527380609,0.000322997416020672,0.000374498339910344,5.94745424177393e-05,0.000101788258992189,8.08103855606102e-05,0.000141750677568239,0.000215070156429509,0.000129909496384186,9.25824326548527e-05,0.000100141925280311,9.11499873041089e-05,0.00092192623103174,0.000555389992143263,8.32368905899095e-05,0.000123185384527916,7.44102983852965e-05,0.000126406996052654,6.22609008460565e-05,9.39489640320005e-05,8.39575734395552e-05,8.80064772767276e-05,9.24802663431671e-05,0.000109803347433477,5.23446019629226e-05,7.59116995111287e-05,0.000143407877310343,9.02891629244185e-05,8.96881095988699e-05,6.31858295246319e-05,9.39630765962488e-05,9.44180074023718e-05,8.63014880842303e-05,0.000119876636043635,0.000102098422879656,1.89740119283288e-05,7.15222314936226e-05,7.40853926757329e-05,4.94776398176254e-05,7.06717110563536e-05,0.000116739903495013,0.000109854168591195,7.68994155644417e-05,4.91883915395967e-05,9.44803776065758e-05,5.92745389181804e-05,9.15262815025385e-05,0.000370392944717681,0.000133706920373072,0.000194594480879777,6.6657778962805e-05,9.4661422206264e-05,5.7284900314044e-05,6.84458011923259e-05,8.0165578358209e-05,7.73833377091768e-05,4.43736930560717e-05,7.31565511691572e-05,4.3828144973764e-05,0.000132309486590189,6.5325624909594e-05,5.65958410141975e-05,6.05709824613355e-05,4.68391387843682e-05,0.000145798322551931,5.59753708368318e-05,0.000266889074228524,0.000125892393476676,0.000118197100231141,7.0646798613149e-05,8.62425211563685e-05,8.47625236628712e-05,6.9330644144712e-05,7.5242028525089e-05,8.11072765393147e-05,8.18366322589093e-05,5.87449933244326e-05,4.55890677415556e-05,6.34975179940761e-05,0.000177809388335704,4.81077613855035e-05,4.25088737273906e-05,6.18662227296502e-05,0.00020636374189055,0.000113637396703606,0.0835407355204837,0.231341866631748,0.000160211101686929,0.137687409012192,0.00083836205014453,6.39706587911678e-05,5.3135567810473e-05,0.000408425881892187,5.39712009671639e-05,7.25391106705032e-05,5.27993060662631e-05,0.000288574841083438,6.98129014241832e-05,8.6497707810743e-05
"UKD12",0.000347728397373313,0.000335374120534886,0.000482822655524605,0.000528590461541794,0.89567282948652,0.000326323742551146,0.000232684693475446,0.000240720959273023,0.000537781509750828,0.000315684087417434,0.00068102494253852,0.00156374532137489,0.000371266377637788,0.000684099810162303,0.000361190121450178,0.000241805480924234,0.000310609967649679,0.000332344820533797,0.000226415357231184,0.00035257227731685,0.000258712620758848,4.12827940194992e-05,0.000209072478459199,0.000331795011009562,0.000189912208765312,0.00196911632486317,0.000189711472564164,0.000206465768283776,0.000357596368572388,0.000219101046663958,0.000151503898997401,0.000204166453993277,0.000415840760711365,0.000169975392198902,0.000417198895710577,0.000331279401046843,0.000184454406224498,9.91242373628988e-05,0.000133931919726565,5.70426251016072e-05,0.00013041062336278,0.000498200488944305,4.33031654613952e-05,0.00011658528556537,7.94229062567984e-05,0.000136724980956163,0.000282525780477469,0.000117399510534348,2.56113509507414e-05,0.000104233786908236,6.20085819877471e-05,6.32034980263271e-05,4.84251451024884e-05,5.05879037095387e-05,0.000233215481776542,0.000222949742434376,4.62401331715835e-05,2.6143654150828e-05,4.36205016357688e-05,9.10940394133544e-05,5.9050302421906e-05,5.54407140763973e-05,4.4844054799435e-05,7.37168011120706e-05,5.7194916189021e-05,4.40617367877735e-05,9.86302720962631e-05,0.000103529822037685,1.80173687434687e-05,1.89740119283288e-05,6.67540827273811e-05,5.55640445067997e-05,1.23694099544064e-05,2.82686844225414e-05,8.97999257653947e-06,1.99734851983991e-05,2.71409701992147e-05,1.96753566158387e-05,6.69236008046579e-05,2.96372694590902e-05,5.38389891191403e-05,0.000239114432665845,3.56551787661525e-05,2.62965514702402e-05,1.53825643760319e-05,3.91702436715575e-05,5.31931217201837e-05,6.84458011923259e-05,0.000102028917910448,9.6729172136471e-05,3.32802697920538e-05,3.85034479837669e-05,5.11328358027246e-05,8.8206324393459e-05,6.9991740974565e-05,6.46809611590828e-05,1.34602183247412e-05,0,9.20831510854301e-05,2.54433503803781e-05,0.000100083402835696,8.39282623177839e-05,5.90985501155705e-05,4.89093221167955e-05,3.95278221966689e-05,0.00011866753312802,0.000176478003277449,0.000217365860183591,0.000583972391083066,3.27346529035637e-05,3.73831775700935e-05,0.000186155359944685,1.8675740586493e-05,2.84495021337127e-05,3.2071840923669e-05,3.18816552955429e-05,7.87388289286458e-05,0.000541704822462693,2.27274793407213e-05,0.000734407744663489,0.00509378989753495,0.00012251437187824,0.000331178374052174,0.0833995581133361,0.000266544411629866,4.93401701097249e-05,0.000134277002265924,0.000107942401934328,7.25391106705032e-05,5.65706850709962e-05,0.0281200150700195,3.49064507120916e-05,9.98050474739342e-05
"UKD33",0.000207299621511014,0.000256882305090551,0.000334261838440111,0.000253463459017992,0.00148857832851657,0.788254109180281,0.163926366553452,0.161854754991199,0.0390976592352181,0.099548722080749,0.00251127947561079,0.00844926907517075,0.0159464897362811,0.0147765558995057,0.0382139148494289,0.0507522837184309,0.0169135918233391,0.0116789378600402,0.00594253229902154,0.00597872563875594,0.00562226695356424,0.000254577229786912,0.000399138367967562,0.000217174916297168,0.000638795611301503,0.000885418625242294,0.000761217283663708,0.0016239919385903,0.00240100418898603,0.00163869324484086,0.00613442257705162,0.000452082862413685,0.00112277005392069,0.0136018944530076,0.000226626560632906,0.000372689326177698,0.00035214023006495,0.000208160898462087,0.000273221116242192,0.000194895635763825,7.93803794382137e-05,0.000171511643734925,0.000205690035941627,0.000219454655181873,0.000203737020397874,0.00104171414061839,0.00215611779838068,0.00180163095012327,0.000318541177449846,0.000151612780957435,0.000241833469752214,0.000206847811722525,0.00032514025997385,0.000491425350321233,0.000242544101047604,0.000152544560612994,0.000103360297677657,0.000115032078263643,8.72410032715376e-05,6.07293596089029e-05,0.00016027939228803,0.000106129366946246,0.000112110136998587,0.000147433602224141,8.98777254398902e-05,8.18289397487222e-05,6.16439200601645e-05,7.62851320277678e-05,0.000174167897853531,0.000158116766069407,0.00015734890928597,0.000185213481689332,0.000103903043617013,0.00012249763249768,0.000158646535518864,0.000157291195937393,0.000153798831128883,0.00015084440072143,0.000181087390412604,0.000124476531728179,0.000188436461916991,0.000304753688691763,0.00019016095341948,0.000147260688233345,0.000225610944181801,0.000205643779275677,0.000169808811645202,0.000219026563815443,0.000153043376865672,0.000223858941230119,0.00300631770454886,0.000562150340562997,0.000209401137096872,0.000328323540797875,0.000494608302886926,0.000210213123767019,0.0001144118557603,6.24521850458243e-05,0.000122777534780574,0.000122128081825815,0.000213511259382819,7.86827459229224e-05,0.000124763605799538,0.000119556120729944,0.00137628690012038,0.00144096290226881,0.000415983864868272,0.000142123831658502,0.000174380644559527,0.000109115509678546,9.07877169559413e-05,0.000250739872578556,6.72326661113746e-05,0.000163584637268848,1.60359204618345e-05,7.97041382388574e-05,0.000174350264056287,0.00987966414301007,0.000209092809934636,0.000296730401884238,0.000288080662585524,0.000348694750730374,0.000158689637566667,0.00083836205014453,0.000106617764651946,0.000106271135620946,0.000872800514728509,0.000323827205802984,0.000884977150180139,0.000211197224265053,0.00406409567859176,0.000226891929628595,0.000126419726800317
"UKD34",0.000314292974548956,0.000278289163848097,0.000278551532033426,0.000214469080707531,0.00101350013856447,0.0799346176573483,0.687710870503462,0.0547452119096695,0.0595427913690785,0.0503020044436293,0.00218495502397775,0.00635082374068058,0.0110122398141273,0.0130064476407108,0.0485891010880852,0.0257012358946803,0.0138660978011159,0.0126376248423493,0.00509260388110755,0.00577618411774414,0.00464420704581737,0.000502273993903907,0.00036112519006589,0.000319729737881941,0.000440251029410495,0.000567488385290428,0.000580991384727752,0.000687192034735554,0.00109103381839943,0.00117766812581878,0.00267953954697364,0.000313541340061104,0.000429702119401744,0.00426483711335427,0.000370843462853846,0.000240177565758961,0.000234760153376634,0.000198248474725798,0.000214291071562503,0.000251938260865432,9.63904607464024e-05,0.000147009980344221,0.000129909496384186,0.00022288363416909,0.000186471171211614,0.000638049911128762,0.00135314979070788,0.00103853413165,0.000222498611384566,0.000104233786908236,0.000297641193541186,0.000224085129366069,0.000366647527204555,0.000231258988386463,8.39575734395552e-05,0.000137876814400207,6.25601801733189e-05,0.000156861924904968,6.97928026172301e-05,5.31381896577901e-05,0.000109664847354968,0.000133057713783354,6.72660821991524e-05,0.000115840687461825,0.000106219130065325,0.000100712541229197,9.24658800902467e-05,9.2631946033718e-05,0.000114110002041968,0.000158116766069407,0.000147812611753487,8.79764038024328e-05,0.000131115745516707,8.95175006713813e-05,0.00011973323435386,0.000134821025089194,0.000153798831128883,0.000183636661747828,0.00011810047200822,9.18755353231796e-05,0.000123829674974023,0.000126589993764271,0.000101023006504099,0.000136742067645249,0.000128188036466933,0.000117510731014673,9.00191290649263e-05,0.000157425342742349,0.000134823927238806,9.6729172136471e-05,3.32802697920538e-05,8.08572407659106e-05,0.000146093816579213,7.35052703278825e-05,3.7328928519768e-05,0.000129361922318166,0.00010768174659793,6.24521850458243e-05,8.82463531235372e-05,0.000198458132966949,0.000166805671392827,0.00010491032789723,0.000111630594662744,0.000103253013357679,0.000122176904971522,0.000110191280761733,0.000116601537879743,0.00029260788870868,0.000227100374310081,9.82039587106911e-05,2.13618157543391e-05,7.97808685477223e-05,7.47029623459718e-05,5.68990042674253e-05,1.60359204618345e-05,8.76745520627431e-05,0.000101235637193973,0.00768704938542298,0.000113637396703606,0.000226256931436732,0.000163682194650866,0.000310998020921685,0.000344977472971015,0.000515243343317992,0.00013860309404753,7.97033517157095e-05,0.000934344140767057,0.000183502083288357,0.000145078221341006,0.000154626539194056,0.00284566857179502,0.000117809271153309,0.000113112387137125
"UKD35",0.000106993353037943,4.28137175150918e-05,7.4280408542247e-05,7.14896935691771e-05,0.000427570370956887,0.0453972183105838,0.02767446660787,0.656615312862022,0.00711695647114692,0.0300350860314301,0.000567520785448767,0.00160410003934585,0.00420968166902201,0.00258247678336269,0.00927355636823333,0.0398656636217088,0.00508111022551456,0.0029271909193169,0.00140377521483334,0.00111022759665731,0.00121153227282192,7.56851223690819e-05,0.000120375063355296,0.000150815914095255,0.000120853223759744,0.000294000006837209,0.000448193353932837,0.000745742028726476,0.000510851955103411,0.000502106565271571,0.0021448199034534,0.000182291476779712,0.00103960190177841,0.0239433518374726,0.000319337426346368,0.000236036573245876,0.000575721328518887,0.000688913449672147,0.000326793884132818,7.60568334688096e-05,6.23702981300251e-05,0.000130675538083752,5.4128956826744e-05,0.000157733033411971,0.000113954604629319,0.000279960675291192,0.00096653556479134,0.00100466888822664,0.000163272362310976,7.58063904787174e-05,0.000378252350125257,0.000258559764653156,0.000159111191051033,0.00033243479580554,3.73144770842468e-05,4.69367878809214e-05,2.99200861698482e-05,2.09149233206624e-05,7.85169029443839e-05,6.07293596089029e-05,7.59218173995934e-05,6.01927752829456e-05,7.84770958990112e-05,3.1592914762316e-05,2.45121069381519e-05,5.03562706145983e-05,2.46575680240658e-05,4.90404420178507e-05,3.00289479057812e-05,0.00010119473028442,3.33770413636905e-05,5.09337074645663e-05,5.93731677811505e-05,6.59602636525967e-05,4.78932937415438e-05,5.24303986457977e-05,4.07114552988221e-05,7.21429742580751e-05,6.69236008046579e-05,5.92745389181804e-05,4.30711912953122e-05,3.75081463005246e-05,3.56551787661525e-05,4.20744823523843e-05,7.17853004214823e-05,4.24344306441873e-05,5.93307896109741e-05,0.000136891602384652,6.92339085820895e-05,3.86916688545884e-05,2.77335581600448e-05,2.31020687902602e-05,5.84375266316853e-05,4.90035135519217e-05,4.666116064971e-05,5.65958410141975e-05,6.73010916237061e-05,7.80652313072804e-05,3.06943836951434e-05,5.59753708368318e-05,2.66889074228524e-05,5.77006803434764e-05,5.25320445471738e-05,5.43436912408838e-05,8.62425211563685e-05,8.75879411183002e-05,8.50876087230556e-05,5.01613523500594e-05,4.05536382696574e-05,3.27346529035637e-05,2.67022696929239e-05,2.65936228492408e-05,3.73514811729859e-05,2.13371266002845e-05,1.60359204618345e-05,6.1106505983124e-05,3.93694144643229e-05,0.00228289889466421,1.8181983472577e-05,0.000114983030730142,0.000104756604576554,0.000160211101686929,0.000137990989188406,0.000261988140670166,0.000127941317582336,7.97033517157095e-05,0.000335692505664811,0.000205090563675223,5.80312885364025e-05,3.01710320378646e-05,0.00109017162187077,6.54495950851717e-05,5.98830284843606e-05
"UKD36",0.000200612536946142,0.000114169913373578,0.000222841225626741,0.000147312095839516,0.00106892592739222,0.00741137076550846,0.025737929481526,0.00616471331638257,0.725143329779573,0.0231742185315579,0.00265315967197299,0.0124191644555644,0.00901818007616949,0.0609532930854612,0.0228001264165425,0.00327243417517464,0.00294786440995827,0.0229957050823193,0.00346937993541937,0.00724648552953355,0.00184884872883762,0.00017889210741783,0.000190065889508363,0.000162881187222876,0.000250338820645184,0.000314511635221201,0.000284567208846246,0.00035129996394553,0.000481660414811788,0.000513518078118652,0.00117044188637208,9.47915679254501e-05,0.000207920380355682,0.000602640026887017,0.000190572335077671,0.00019462664811502,0.000150917241456407,0.000104080449231044,8.57164286250013e-05,0.00015686721902942,0.000147420704670968,5.98929549550531e-05,0.000205690035941627,0.00012687222252702,0.000103595095117563,0.000332046382322111,0.000587356227834737,0.000404125238185545,0.000140862430229078,7.10684910737975e-05,0.000161222313168142,0.000160881631339742,0.000131439679563897,0.000260166361934771,6.53003348974318e-05,5.86709848511517e-05,6.52801880069415e-05,3.66011158111592e-05,3.4896401308615e-05,3.03646798044515e-05,5.06145449330623e-05,5.54407140763973e-05,4.4844054799435e-05,0.000105309715874387,5.31095650326624e-05,4.40617367877735e-05,1.23287840120329e-05,8.71830080317346e-05,4.20405270680936e-05,3.79480238566577e-05,2.8608892597449e-05,7.40853926757329e-05,6.4320931762913e-05,4.24030266338122e-05,5.08866246003903e-05,3.99469703967982e-05,7.23759205312393e-05,4.59091654369569e-05,3.14934592021919e-05,8.29843544854526e-05,2.15355956476561e-05,0.00011721295718914,4.45689734576907e-05,4.73337926464323e-05,9.74229077148688e-05,8.16046743157448e-05,0.000116615689925018,9.58241216692562e-05,8.74533582089552e-05,5.5273812649412e-05,5.54671163200896e-05,6.16055167740271e-05,9.25260838335017e-05,4.90035135519217e-05,7.4657857039536e-05,5.65958410141975e-05,5.38408732989649e-05,0.000109291323830193,6.90623633140726e-05,9.66847314454367e-05,0.000166805671392827,8.39282623177839e-05,4.59655389787771e-05,2.71718456204419e-05,6.46818908672764e-05,9.04133585737293e-05,0.000110298752048405,1.67204507833531e-05,6.48858212314518e-05,8.18366322589093e-05,2.67022696929239e-05,0.0001025754024185,4.85569255248817e-05,8.5348506401138e-05,0.000144323284156511,5.04792875512763e-05,8.99872330613094e-05,0.0268401841796396,9.09099173628851e-06,0.000144656070918566,9.16620290044849e-05,0.000292149656017341,6.8995494594203e-05,0.000401715149027587,2.13235529303893e-05,7.97033517157095e-05,0.000447590007553081,0.000140325122514626,2.90156442682013e-05,8.29703381041278e-05,0.00397592003270515,6.10862887461603e-05,7.31903681475518e-05
"UKD37",0.000227360875205628,8.56274350301837e-05,0.000334261838440111,9.74859457761506e-05,0.000546339918444911,0.0276610819248985,0.0226754986770749,0.0339792679073826,0.0285087098590132,0.736364702309906,0.00126273374762351,0.00385891990597351,0.0419471125056888,0.00590891211027689,0.00578807169623911,0.00415905427189683,0.00175230906277838,0.0025692811125882,0.00117039323122581,0.00112523067228782,0.000851858629327915,8.9446053708915e-05,0.000316776482513938,0.000162881187222876,0.000414353910033407,0.000413651172410492,0.000986499657333653,0.00394442064780946,0.00120415103702947,0.00124385490033185,0.00958336427775715,0.000233333090278031,0.000616830461721858,0.00237192933659377,0.000298735011743376,0.000331279401046843,0.000195633461147195,3.96496949451595e-05,8.303779023047e-05,0.000114085250203214,0.000113400542054591,0.00010889628173646,7.57805395574416e-05,0.000123443243539804,9.6688755443059e-05,0.000188810687987083,0.000565051560954937,0.000327364019759241,0.000104046113237387,6.15926922639579e-05,0.000167423171366917,0.000109169678409111,0.000110686045948545,0.000137310024354462,8.39575734395552e-05,7.0405181821382e-05,0.000122400352513015,2.6143654150828e-05,0.000122137404580153,6.07293596089029e-05,0.000118100604843812,4.11845304567523e-05,3.36330410995762e-05,1.05309715874387e-05,6.12802673453797e-05,3.14726691341239e-05,0,2.17957520079337e-05,4.20405270680936e-05,6.32467064277628e-06,1.43044462987245e-05,2.77820222533998e-05,5.68992857902692e-05,9.42289480751382e-06,5.38799554592368e-05,2.2470170848199e-05,9.04699006640491e-06,3.93507132316773e-05,2.7556776801918e-05,3.55647233509082e-05,5.38389891191403e-05,6.56392560259181e-05,5.34827681492288e-05,2.62965514702402e-05,4.10201716694184e-05,1.6320934863149e-05,3.06883394539521e-05,3.42229005961629e-05,6.19461287313433e-05,4.97464313844708e-05,6.65605395841076e-05,3.08027583870136e-05,5.60026296886984e-05,2.9402108131153e-05,3.7328928519768e-05,3.23404805795414e-05,7.40312007860768e-05,0,4.60415755427151e-05,6.6152710988983e-05,6.67222685571309e-05,8.91737787126454e-05,3.28325278419836e-05,3.26062147445303e-05,3.59343838151535e-05,6.49846014748679e-05,6.30278583133745e-05,5.01613523500594e-05,4.86643659235888e-05,4.36462038714183e-05,3.73831775700935e-05,9.49772244615741e-05,4.10866292902845e-05,2.84495021337127e-05,6.4143681847338e-05,2.9224850687581e-05,3.93694144643229e-05,0.0120077902312564,6.81824380221638e-05,0.000159492591012778,0.000144040331292762,0.000150786919234756,7.58950440536233e-05,0.000218323450558471,7.46324352563624e-05,4.93401701097249e-05,0.000766497887934652,0.000118736642127761,1.93437628454675e-05,3.01710320378646e-05,0.00174748098211638,4.36330633901145e-05,7.98440379791474e-05
